"tick","Block","PorpoiseCount"
473.0,2,2240
473.0,0,0
473.0,1,7753
474.0,2,2249
474.0,0,0
474.0,1,7744
475.0,2,2252
475.0,0,0
475.0,1,7741
476.0,2,2253
476.0,0,0
476.0,1,7740
477.0,2,2254
477.0,0,0
477.0,1,7739
478.0,2,2255
478.0,0,0
478.0,1,7738
479.0,2,2261
479.0,0,0
479.0,1,7732
480.0,2,2261
480.0,0,0
480.0,1,7732
481.0,2,2267
481.0,0,0
481.0,1,7726
482.0,2,2261
482.0,0,0
482.0,1,7732
483.0,2,2267
483.0,0,0
483.0,1,7726
484.0,2,2272
484.0,0,0
484.0,1,7721
485.0,2,2267
485.0,0,0
485.0,1,7726
486.0,2,2276
486.0,0,0
486.0,1,7716
487.0,2,2279
487.0,0,0
487.0,1,7713
488.0,2,2282
488.0,0,0
488.0,1,7710
489.0,2,2276
489.0,0,0
489.0,1,7716
490.0,2,2278
490.0,0,0
490.0,1,7714
491.0,2,2276
491.0,0,0
491.0,1,7716
492.0,2,2281
492.0,0,0
492.0,1,7711
493.0,2,2283
493.0,0,0
493.0,1,7709
494.0,2,2288
494.0,0,0
494.0,1,7704
495.0,2,2289
495.0,0,0
495.0,1,7703
496.0,2,2295
496.0,0,0
496.0,1,7697
497.0,2,2306
497.0,0,0
497.0,1,7686
498.0,2,2308
498.0,0,0
498.0,1,7684
499.0,2,2316
499.0,0,0
499.0,1,7676
500.0,2,2321
500.0,0,0
500.0,1,7671
501.0,2,2326
501.0,0,0
501.0,1,7666
502.0,2,2331
502.0,0,0
502.0,1,7661
503.0,2,2339
503.0,0,0
503.0,1,7653
504.0,2,2342
504.0,0,0
504.0,1,7650
505.0,2,2341
505.0,0,0
505.0,1,7651
506.0,2,2340
506.0,0,0
506.0,1,7652
507.0,2,2344
507.0,0,0
507.0,1,7648
508.0,2,2349
508.0,0,0
508.0,1,7643
509.0,2,2363
509.0,0,0
509.0,1,7628
510.0,2,2364
510.0,0,0
510.0,1,7627
511.0,2,2368
511.0,0,0
511.0,1,7623
512.0,2,2370
512.0,0,0
512.0,1,7621
513.0,2,2374
513.0,0,0
513.0,1,7617
514.0,2,2381
514.0,0,0
514.0,1,7610
515.0,2,2384
515.0,0,0
515.0,1,7607
516.0,2,2385
516.0,0,0
516.0,1,7606
517.0,2,2396
517.0,0,0
517.0,1,7595
518.0,2,2397
518.0,0,0
518.0,1,7594
519.0,2,2394
519.0,0,0
519.0,1,7597
520.0,2,2395
520.0,0,0
520.0,1,7596
521.0,2,2393
521.0,0,0
521.0,1,7598
522.0,2,2390
522.0,0,0
522.0,1,7601
523.0,2,2386
523.0,0,0
523.0,1,7605
524.0,2,2390
524.0,0,0
524.0,1,7601
525.0,2,2393
525.0,0,0
525.0,1,7598
526.0,2,2396
526.0,0,0
526.0,1,7595
527.0,2,2403
527.0,0,0
527.0,1,7588
528.0,2,2408
528.0,0,0
528.0,1,7583
529.0,2,2400
529.0,0,0
529.0,1,7591
530.0,2,2411
530.0,0,0
530.0,1,7580
531.0,2,2421
531.0,0,0
531.0,1,7570
532.0,2,2426
532.0,0,0
532.0,1,7565
533.0,2,2430
533.0,0,0
533.0,1,7561
534.0,2,2435
534.0,0,0
534.0,1,7556
535.0,2,2435
535.0,0,0
535.0,1,7556
